# law_id	module	enforcement	authority	law
STD-01-001	01-namespace-and-progressive-disclosure.md	deterministic_gate	scripts/check-line-cap	Active source, skill, standards, and hand-authored docs must stay at or below 250 lines.
STD-01-002	01-namespace-and-progressive-disclosure.md	deterministic_gate	scripts/check-line-cap	Generated state and lock files can exceed 250 lines only when they are mechanically generated and not useful to split by hand. Do not use that exception for source code, skill contracts, standards, or runbooks.
STD-01-003	01-namespace-and-progressive-disclosure.md	reviewer_judgment	review-team	Before adding behavior to an oversized file, split the file first.
STD-01-004	01-namespace-and-progressive-disclosure.md	deterministic_gate	scripts/check-agent-standards	The local gate must include a deterministic line-cap audit so this does not depend on memory or reviewer attention.
STD-01-005	01-namespace-and-progressive-disclosure.md	reviewer_judgment	review-team	Paths must explain their domain responsibility before a file is opened.
STD-01-006	01-namespace-and-progressive-disclosure.md	reviewer_judgment	review-team	Avoid generic buckets such as `utils`, `helpers`, `misc`, or broad `common` for domain behavior.
STD-01-007	01-namespace-and-progressive-disclosure.md	reviewer_judgment	review-team	Repeated concepts should become named directories or typed records, not scattered prose.
STD-01-008	01-namespace-and-progressive-disclosure.md	reviewer_judgment	review-team	Split modules by product concepts: capture, audio input, realtime timing, post-stop transcription, cleanup, alignment, evidence, review, packaging.
STD-01-009	01-namespace-and-progressive-disclosure.md	reviewer_judgment	review-team; partial gate: scripts/check-skill-contracts	`SKILL.md` files are entrypoints, not full manuals.
STD-01-010	01-namespace-and-progressive-disclosure.md	reviewer_judgment	review-team; partial gate: scripts/check-skill-contracts	Put shared operational detail in the core narrated skill or references, then have companion skills point to that contract.
STD-01-011	01-namespace-and-progressive-disclosure.md	deterministic_gate	scripts/check-skill-contracts	Companion skills must include critical startup constraints directly enough that a fresh agent does not ask intake questions or miss microphone consent.
STD-01-012	01-namespace-and-progressive-disclosure.md	deterministic_gate	scripts/check-skill-contracts	Do not reference harness-ultragoal docs from user-facing narrated plugin skills; harness docs are process guidance for building this plugin.
STD-01-013	01-namespace-and-progressive-disclosure.md	not_yet_enforced_with_reason	reason: semantic doc freshness needs changed-file/doc-impact analysis; next candidate is a Rust doc-freshness receipt validator	Completion requires fresh affected docs. Update docs when work changes architecture, commands, standards, runtime behavior, product behavior, proof surfaces, lane state, operational procedure, validation receipts, backlog rows, or tech-debt records.
STD-01-014	01-namespace-and-progressive-disclosure.md	not_yet_enforced_with_reason	reason: affected-doc staleness is semantic; next candidate is explicit stale-doc blocker schema validation	Do not edit every doc every time. No affected repo-owned doc may be stale without owner, reason, required follow-up, and claim-ceiling impact.
