# law_id	truth	mechanism	exact_enforcer	rationale_or_proof
STD-01-001	yes	deterministic_gate	scripts/check-line-cap	Fails when active source, skill, standards, or hand-authored docs exceed 250 lines.
STD-01-002	yes	deterministic_gate	scripts/check-line-cap	Fails oversized hand-authored files while excluding generated state/proof roots.
STD-01-003	yes	reviewer_judgment	review-team	Requires context about whether new behavior was added before splitting; deterministic detection would be fake precision.
STD-01-004	yes	deterministic_gate	scripts/check-agent-standards	Requires scripts/check to invoke scripts/check-line-cap and fails if missing.
STD-01-005	yes	reviewer_judgment	review-team	Whether path names explain domain responsibility depends on codebase semantics.
STD-01-006	yes	reviewer_judgment	review-team	Generic namespace harm depends on usage and ownership, not name matching alone.
STD-01-007	yes	reviewer_judgment	review-team	Detecting repeated concepts versus justified repetition needs design judgment.
STD-01-008	yes	reviewer_judgment	review-team	Module concept boundaries are architectural judgment; directory names alone are insufficient.
STD-01-009	partial	reviewer_judgment	review-team; partial: scripts/check-skill-contracts	Entrypoint/manual balance is semantic; script checks critical startup/routing only.
STD-01-010	partial	reviewer_judgment	review-team; partial: scripts/check-skill-contracts	Shared-detail routing is semantic; script checks required links and companion startup constraints.
STD-01-011	yes	deterministic_gate	scripts/check-skill-contracts	Fails if companion skills omit capture-first, no-pre-intake, consent, or alignment guidance.
STD-01-012	yes	deterministic_gate	scripts/check-skill-contracts	Fails if user-facing narrated skills mention harness-ultragoal.
STD-01-013	yes	not_yet_enforced_with_reason	doc-freshness-backlog	Document freshness is classified as semantic backlog to avoid fake deterministic precision; completion claims must report docs updated or stale-doc blockers.
STD-01-014	yes	not_yet_enforced_with_reason	doc-freshness-backlog	Affected-doc staleness cannot be inferred from static file names; next useful gate is a typed stale-doc blocker receipt.
STD-01-015	yes	not_yet_enforced_with_reason	generated-doc-index-backlog	Generated-doc handling needs a generator inventory before mechanization; current row withholds overclaims.
STD-01-016	yes	not_yet_enforced_with_reason	stale-doc-backlog-row	Multiple owed-update destinations make simple grep fake precision; next candidate is Rust validation for stale-doc backlog rows.
STD-02-018	yes	reviewer_judgment	final-report	Executable evidence must be matched to the behavior changed in the current diff.
STD-02-019	yes	rust_test	coverage::validate_coverage_policy	Rust validator requires coverage receipt fields and blocks malformed or absent coverage policy.
STD-02-020	yes	rust_test	coverage::validate_coverage_policy	Rust validator rejects cargo-test/pass-count language as coverage proof.
STD-02-021	yes	rust_test	coverage::validate_coverage_policy	Rust validator requires lower-than-100 coverage receipts to use withheld_or_blocked claim ceiling.
STD-02-022	yes	rust_test	coverage::validate_coverage_policy	Rust validator rejects exclusions counted as covered and requires rationale.
STD-02-023	partial	deterministic_gate	scripts/check-coverage-fast and scripts/check-coverage-full	Gates now require manifest and fast/full entrypoints; changed-file coupling and broader non-Rust source coverage remain debt in the Harness 0.0.10 matrix.
STD-02-001	yes	runtime_receipt	evidence-boundary-report.json/review-contract.json	Receipt must mark UI/R&R events as observed action evidence.
STD-02-002	yes	runtime_receipt	evidence-boundary-report.json/review-contract.json	Receipt must mark transcript as spoken context, not action proof.
